Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2024-01-19,14:42:48,9.22,21.75,4998476.04,0.0014039697515364866
2024-01-19,14:42:48,9.26,21.75,4998096.34,0.0013946104780317202
2024-01-19,14:42:49,9.43,21.75,4997781.13,0.001415533972099043
2024-01-19,14:42:49,9.48,21.75,4998109.41,0.0014094528168681231
2024-01-19,14:42:49,9.59,21.75,4998143.03,0.0013966513581365897
2024-01-19,14:42:49,9.76,21.75,4998137.99,0.0013705876027119126
2024-01-19,14:42:49,9.81,21.75,4998491.69,0.001362629678317557
2024-01-19,14:42:49,9.92,21.75,4998537.13,0.001352419348214724
2024-01-19,14:42:49,10.02,21.75,4998642.22,0.0013409841094163108
2024-01-19,14:42:49,10.13,21.75,4998659.12,0.0013383269426691957
2024-01-19,14:42:49,10.24,21.75,4998573.91,0.0013425411076156731
2024-01-19,14:42:50,10.41,21.75,4998639.68,0.0013426364272474665
2024-01-19,14:42:50,10.45,21.75,4998562.43,0.0013226332455409649
2024-01-19,14:42:50,10.55,21.75,4998423.31,0.001298037421086612
2024-01-19,14:42:50,10.66,21.75,4998388.59,0.0013022104359866325
2024-01-19,14:42:50,10.86,21.75,4998267.47,0.001290290199210115
2024-01-19,14:42:50,10.88,21.75,4998110.66,0.0012645206291076938
2024-01-19,14:42:50,11.07,21.75,4997886.57,0.0012707524939990667
2024-01-19,14:42:50,11.1,21.75,4998095.27,0.0012524525458399876
2024-01-19,14:42:50,11.21,21.75,4998340.79,0.0012672834048536505
2024-01-19,14:42:50,11.32,21.75,4998373.18,0.001304705290796442
2024-01-19,14:42:51,11.43,21.75,4997925.25,0.0012761004848338376
2024-01-19,14:42:51,11.55,21.75,4997916.3,0.0012047234338573567
2024-01-19,14:42:51,11.66,21.75,4998086.61,0.0011636184810777405
2024-01-19,14:42:51,11.77,21.75,4998140.93,0.0010443076292222392
2024-01-19,14:42:51,11.88,21.75,4998183.75,0.0010391132652947048
2024-01-19,14:42:51,11.98,21.75,4997933.28,0.000984194767938964
2024-01-19,14:42:51,12.08,21.75,4997936.71,0.0008926667590790932
2024-01-19,14:42:51,12.21,21.75,4998006.85,0.0008813783076178648
2024-01-19,14:42:52,12.38,21.75,4998179.17,0.0008476230948485271
2024-01-19,14:42:52,12.41,21.75,4998179.17,0.0008476230948485271
2024-01-19,14:42:52,12.51,21.75,4998203.88,0.0007139038611548128
2024-01-19,14:42:52,12.62,21.75,4998099.45,0.0007162719886495436
2024-01-19,14:42:52,12.72,21.75,4997997.0,0.000689309115299685
2024-01-19,14:42:52,12.82,21.75,4998134.44,0.0005889690474687597
2024-01-19,14:42:52,12.94,21.75,4998138.53,0.0005550087230478128
2024-01-19,14:42:52,13.05,21.75,4997934.5,0.0005495488445787743
2024-01-19,14:42:52,13.15,21.75,4997963.06,0.0005671115940729917
2024-01-19,14:42:52,13.25,21.75,4997910.43,0.0005306766353436732
2024-01-19,14:42:53,13.38,21.75,4997959.43,0.0005016722821638868
2024-01-19,14:42:53,13.48,21.75,4998192.06,0.00044552334985689836
2024-01-19,14:42:53,13.59,21.75,4997973.36,0.0004405865257077063
2024-01-19,14:42:53,13.7,21.75,4998053.96,0.0004103770777974381
2024-01-19,14:42:53,13.83,21.75,4998394.54,0.00040792041604611193
2024-01-19,14:42:53,13.94,21.75,4998071.41,0.00041990135887620184
2024-01-19,14:42:53,14.06,21.75,4998335.73,0.0004161325415876861
2024-01-19,14:42:53,14.16,21.75,4998159.98,0.000406172381612349
2024-01-19,14:42:53,14.28,21.75,4998182.34,0.0004023729750699869
2024-01-19,14:42:54,14.46,21.75,4998235.29,0.00040627277806651535
2024-01-19,14:42:54,14.5,21.75,4998299.81,0.0004100675405348469
2024-01-19,14:42:54,14.61,21.75,4998224.55,0.0003934131106196621
2024-01-19,14:42:54,14.72,21.75,4998232.0,0.0003971562123742002
2024-01-19,14:42:54,14.82,21.75,4998248.28,0.00038974171739985836
2024-01-19,14:42:54,14.93,21.75,4998285.38,0.0003936402955148385
2024-01-19,14:42:54,15.05,21.75,4998430.05,0.00040515277050545
2024-01-19,14:42:54,15.23,21.75,4998485.87,0.00040900073478115787
2024-01-19,14:42:54,15.28,21.75,4997981.57,0.00040135563245701194
2024-01-19,14:42:55,15.44,21.75,4997994.23,0.0004005039163158281
2024-01-19,14:42:55,15.49,21.75,4998139.63,0.00038880128548345305
2024-01-19,14:42:55,15.59,21.75,4998026.64,0.00038111182596340846
2024-01-19,14:42:55,15.71,21.75,4998082.48,0.0003809022163990665
2024-01-19,14:42:55,15.8,21.75,4998317.9,0.00036555402867856314
2024-01-19,14:42:55,15.91,21.75,4998374.66,0.00038024271395478807
2024-01-19,14:42:55,16.03,21.75,4998637.02,0.00039573498509178474
2024-01-19,14:42:55,16.14,21.75,4998541.78,0.00037686556351096753
2024-01-19,14:42:55,16.25,21.75,4998425.42,0.00039107521369193183
2024-01-19,14:42:56,16.42,21.75,4998850.33,0.00039095560896082714
2024-01-19,14:42:56,16.54,21.75,4998977.36,0.00039493429505245393
2024-01-19,14:42:56,16.65,21.75,4998827.01,0.0004063880661411796
2024-01-19,14:42:56,16.76,21.75,4998708.61,0.00039492779392651415
2024-01-19,14:42:56,16.86,21.75,4998709.31,0.0003945435874050023
2024-01-19,14:42:56,16.97,21.75,4999035.19,0.00039440542615852315
2024-01-19,14:42:56,17.05,21.75,4999035.27,0.00039435742759415444
2024-01-19,14:42:56,17.2,21.75,4998907.47,0.00040592835659151923
2024-01-19,14:42:56,17.27,21.75,4998766.61,0.00039429485444768985
2024-01-19,14:42:57,17.41,21.75,4998766.89,0.0003941694479504925
2024-01-19,14:42:57,17.52,21.75,4998948.67,0.00040567971318782985
2024-01-19,14:42:57,17.63,21.75,4998979.13,0.0004094270390039812
2024-01-19,14:42:57,17.74,21.75,4999000.49,0.00039407501263902196
2024-01-19,14:42:57,17.84,21.75,4999135.35,0.0004054384658800419
2024-01-19,14:42:57,17.95,21.75,4999141.76,0.00040561195526832023
2024-01-19,14:42:57,18.07,21.75,4998945.09,0.00040510487732491415
2024-01-19,14:42:57,18.18,21.75,4999064.06,0.00040448029565089307
2024-01-19,14:42:57,18.28,21.75,4998934.87,0.0003967802636008857
2024-01-19,14:42:58,18.39,21.75,4998772.63,0.0003852121458743612
2024-01-19,14:42:58,18.5,21.75,4998584.05,0.0003890103685716717
2024-01-19,14:42:58,18.61,21.75,4998797.97,0.0003811686838098195
2024-01-19,14:42:58,18.73,21.75,4998667.35,0.0003733272427094475
2024-01-19,14:42:58,18.83,21.75,4998414.57,0.0003771771278499523
2024-01-19,14:42:58,18.94,21.75,4998629.63,0.0003692525365771566
2024-01-19,14:42:58,19.05,21.75,4998636.13,0.00036363732047382997
