Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2024-05-15,17:31:05,1715787065.53,nan,nan,nan
2024-05-15,17:31:05,0.0,0.0,4995128.23,0.0002448172086073278
2024-05-15,17:31:06,0.44,0.0,4995128.24,0.00024479051266629136
2024-05-15,17:31:06,0.66,0.0,4995128.31,0.0002447771640299411
2024-05-15,17:31:06,0.98,0.0,4995128.45,0.0002447451279072941
2024-05-15,17:31:07,1.31,0.0,4995128.49,0.00024471576208466594
2024-05-15,17:31:07,1.57,0.0,4995128.57,0.00024466236849472354
2024-05-15,17:31:07,1.88,0.0,4995128.66,0.00024467037497922465
2024-05-15,17:31:08,2.21,0.0,4995128.82,0.00024464100723018296
2024-05-15,17:31:08,2.53,0.0,4995128.94,0.00024460630091921746
2024-05-15,17:31:08,2.85,0.0,4995129.11,0.0002445182035971962
2024-05-15,17:31:09,3.18,0.0,4995129.3,0.00024447548913715067
2024-05-15,17:31:09,3.45,0.0,4995129.41,0.0002444301030892469
2024-05-15,17:31:09,3.75,0.0,4995129.39,0.0002444487889286015
2024-05-15,17:31:09,4.08,0.0,4995129.33,0.0002444754845393935
2024-05-15,17:31:10,4.4,0.0,4995129.37,0.0002444594650317908
2024-05-15,17:31:10,4.7,0.0,4995129.43,0.00024448348974995206
2024-05-15,17:31:10,5.04,0.0,4995129.5,0.0002444888256742044
2024-05-15,17:31:11,5.36,0.0,4995129.6,0.00024446479735382653
2024-05-15,17:31:11,5.69,0.0,4995129.61,0.00024448348287148817
2024-05-15,17:31:11,6.02,0.0,4995129.7,0.00024444877486441073
2024-05-15,17:31:12,6.27,0.0,4995129.67,0.0002444674603842103
2024-05-15,17:31:12,6.6,0.0,4995129.74,0.0002444461017022958
2024-05-15,17:31:12,6.9,0.0,4995129.77,0.0002444514399115302
2024-05-15,17:31:13,7.22,0.0,4995129.75,0.0002444647868977305
2024-05-15,17:31:13,7.54,0.0,4995129.87,0.00024446745424319433
2024-05-15,17:31:13,7.87,0.0,4995129.85,0.00024448880968787513
2024-05-15,17:31:14,8.21,0.0,4995130.07,0.00024435266001505946
2024-05-15,17:31:14,8.47,0.0,4995130.1,0.0002443686752898886
2024-05-15,17:31:14,8.79,0.0,4995130.25,0.0002443206203933454
2024-05-15,17:31:14,9.1,0.0,4995130.34,0.0002443046012122453
2024-05-15,17:31:15,9.41,0.0,4995130.37,0.0002443126083492175
2024-05-15,17:31:15,9.73,0.0,4995130.41,0.0002443366317421295
2024-05-15,17:31:15,10.06,0.0,4995130.47,0.0002443339618391606
2024-05-15,17:31:16,10.4,0.0,4995130.39,0.0002443579868726009
2024-05-15,17:31:16,10.72,0.0,4995130.53,0.00024430192181558783
2024-05-15,17:31:16,11.0,0.0,4995130.61,0.0002443125985594904
2024-05-15,17:31:17,11.29,0.0,4995130.59,0.0002443419617823912
2024-05-15,17:31:17,11.62,0.0,4995130.67,0.00024434195983299723
2024-05-15,17:31:17,12.03,0.0,4995130.61,0.00024436865314277415
2024-05-15,17:31:18,12.25,0.0,4995130.73,0.0002443099198099605
2024-05-15,17:31:18,12.58,0.0,4995130.89,0.00024429123073283957
2024-05-15,17:31:18,12.91,0.0,4995130.96,0.0002442832186994013
2024-05-15,17:31:19,13.23,0.0,4995131.06,0.00024426185965143664
2024-05-15,17:31:19,13.49,0.0,4995131.08,0.00024426719720552816
2024-05-15,17:31:19,13.8,0.0,4995131.17,0.0002442458375339523
2024-05-15,17:31:19,14.13,0.0,4995131.29,0.0002442671916854516
2024-05-15,17:31:20,14.44,0.0,4995131.29,0.0002442565136440906
2024-05-15,17:31:20,14.77,0.0,4995131.43,0.00024420044951581343
2024-05-15,17:31:20,15.09,0.0,4995131.51,0.00024416841214488095
2024-05-15,17:31:21,15.42,0.0,4995131.42,0.00024419243717404556
2024-05-15,17:31:21,15.69,0.0,4995131.49,0.00024421646187403593
2024-05-15,17:31:21,16.01,0.0,4995131.53,0.00024421912951767675
2024-05-15,17:31:22,16.32,0.0,4995131.7,0.0002441684040117187
2024-05-15,17:31:22,16.65,0.0,4995131.77,0.0002441684017379603
2024-05-15,17:31:22,16.95,0.0,4995131.67,0.0002442004355312644
2024-05-15,17:31:23,17.39,0.0,4995131.79,0.0002441737373121964
2024-05-15,17:31:23,17.61,0.0,4995131.9,0.00024413903231525777
2024-05-15,17:31:23,17.88,0.0,4995131.73,0.00024419242285497717
