Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2024-05-15,16:58:45,1715785125.88,nan,nan,nan
2024-05-15,16:58:46,0.0,0.0,4994161.91,0.00024284621821216322
2024-05-15,16:58:46,0.32,0.0,4994161.85,0.00024286490961243878
2024-05-15,16:58:46,0.56,0.0,4994161.94,0.00024281951779535176
2024-05-15,16:58:47,0.87,0.0,4994162.03,0.00024283019728861557
2024-05-15,16:58:47,1.2,0.0,4994162.02,0.00024283286674161564
2024-05-15,16:58:47,1.52,0.0,4994162.19,0.00024273941476153746
2024-05-15,16:58:48,1.86,0.0,4994162.27,0.00024271004325216412
2024-05-15,16:58:48,2.18,0.0,4994162.26,0.0002427314051238215
2024-05-15,16:58:48,2.51,0.0,4994162.28,0.00024270203458685098
2024-05-15,16:58:49,2.84,0.0,4994162.46,0.00024261659261175063
2024-05-15,16:58:49,3.07,0.0,4994162.54,0.00024257120044023268
2024-05-15,16:58:49,3.39,0.0,4994162.57,0.00024256052098546276
2024-05-15,16:58:49,3.71,0.0,4994162.57,0.0002425471717467865
2024-05-15,16:58:50,4.04,0.0,4994162.48,0.00024254984316276988
2024-05-15,16:58:50,4.37,0.0,4994162.48,0.00024258989381632296
2024-05-15,16:58:50,4.7,0.0,4994162.46,0.0002425445045823295
2024-05-15,16:58:51,5.03,0.0,4994162.31,0.00024259256716962604
2024-05-15,16:58:51,5.36,0.0,4994162.27,0.00024262460813467262
2024-05-15,16:58:51,5.58,0.0,4994162.27,0.00024262727824520827
2024-05-15,16:58:52,5.91,0.0,4994162.05,0.0002426673315529631
2024-05-15,16:58:52,6.23,0.0,4994162.02,0.00024267534154885195
2024-05-15,16:58:52,6.56,0.0,4994161.77,0.00024277413663994403
2024-05-15,16:58:53,6.88,0.0,4994161.71,0.00024279015858080381
2024-05-15,16:58:53,7.22,0.0,4994161.81,0.00024278215026671393
2024-05-15,16:58:53,7.54,0.0,4994161.77,0.00024276345950258803
2024-05-15,16:58:53,7.77,0.0,4994161.77,0.00024276879939168366
2024-05-15,16:58:54,8.09,0.0,4994161.65,0.00024281419125368102
2024-05-15,16:58:54,8.42,0.0,4994161.65,0.0002428035105052258
2024-05-15,16:58:54,8.75,0.0,4994161.68,0.0002428248720245914
2024-05-15,16:58:55,9.08,0.0,4994161.69,0.00024282487266822608
2024-05-15,16:58:55,9.4,0.0,4994161.71,0.00024281419224426144
2024-05-15,16:58:55,9.73,0.0,4994161.47,0.00024291031620536687
2024-05-15,16:58:56,10.06,0.0,4994161.39,0.0002429743987929956
2024-05-15,16:58:56,10.29,0.0,4994161.53,0.00024287293459050233
2024-05-15,16:58:56,10.61,0.0,4994161.49,0.0002429023057636228
2024-05-15,16:58:57,10.93,0.0,4994161.51,0.00024289429544057018
2024-05-15,16:58:57,11.27,0.0,4994161.53,0.00024288895524302335
2024-05-15,16:58:57,11.6,0.0,4994161.43,0.0002428942954576789
2024-05-15,16:58:58,11.93,0.0,4994161.55,0.0002428489036277603
2024-05-15,16:58:58,12.24,0.0,4994161.41,0.00024288628521696188
2024-05-15,16:58:58,12.57,0.0,4994161.5,0.00024284356345373792
2024-05-15,16:58:59,12.81,0.0,4994161.61,0.0002428916251531058
2024-05-15,16:58:59,13.12,0.0,4994161.65,0.00024287293441357363
2024-05-15,16:58:59,13.46,0.0,4994161.77,0.0002427688013503914
2024-05-15,16:58:59,13.78,0.0,4994161.74,0.00024278749209633935
2024-05-15,16:59:00,14.11,0.0,4994161.77,0.00024276880135680714
2024-05-15,16:59:00,14.44,0.0,4994161.69,0.00024278215190627752
2024-05-15,16:59:00,14.77,0.0,4994161.67,0.00024280618286581172
2024-05-15,16:59:01,15.09,0.0,4994161.45,0.00024288094598005718
2024-05-15,16:59:01,15.31,0.0,4994161.38,0.0002428996367324209
2024-05-15,16:59:01,15.64,0.0,4994161.5,0.00024289963675166822
2024-05-15,16:59:02,15.96,0.0,4994161.53,0.0002428809456732099
2024-05-15,16:59:02,16.29,0.0,4994161.47,0.0002429023071765362
2024-05-15,16:59:02,16.63,0.0,4994161.49,0.00024288628718475877
2024-05-15,16:59:03,16.95,0.0,4994161.49,0.00024287026652902992
2024-05-15,16:59:03,17.28,0.0,4994161.51,0.0002428649263175822
2024-05-15,16:59:03,17.6,0.0,4994161.48,0.00024288361706673804
2024-05-15,16:59:04,17.83,0.0,4994161.41,0.00024290230782979467
2024-05-15,16:59:04,18.15,0.0,4994161.37,0.00024291832847055334
2024-05-15,16:59:04,18.48,0.0,4994161.36,0.00024293167901467733
2024-05-15,16:59:05,18.8,0.0,4994161.29,0.00024295303987223015
2024-05-15,16:59:05,19.14,0.0,4994161.25,0.00024299309213754415
2024-05-15,16:59:05,19.46,0.0,4994161.18,0.00024298241169860943
2024-05-15,16:59:06,19.79,0.0,4994161.29,0.0002429744016882855
2024-05-15,16:59:06,20.02,0.0,4994161.25,0.00024297440169042406
2024-05-15,16:59:06,20.34,0.0,4994161.0,0.0002430518349173438
2024-05-15,16:59:06,20.67,0.0,4994160.98,0.00024304916610370272
2024-05-15,16:59:07,21.0,0.0,4994161.05,0.00024306785627338067
2024-05-15,16:59:07,21.32,0.0,4994160.82,0.00024313193927745952
2024-05-15,16:59:07,21.65,0.0,4994161.01,0.0002430625163917705
2024-05-15,16:59:08,21.99,0.0,4994161.09,0.00024306518656004792
2024-05-15,16:59:08,22.31,0.0,4994161.26,0.00024295838170613264
2024-05-15,16:59:08,22.55,0.0,4994161.33,0.00024295304149896213
2024-05-15,16:59:09,22.85,0.0,4994161.33,0.00024295838106463654
2024-05-15,16:59:09,23.19,0.0,4994161.31,0.0002429503707469304
2024-05-15,16:59:09,23.51,0.0,4994161.27,0.0002429984327023547
2024-05-15,16:59:10,23.84,0.0,4994161.27,0.00024296639136951116
2024-05-15,16:59:10,24.16,0.0,4994161.23,0.00024295304082752587
2024-05-15,16:59:10,24.5,0.0,4994161.23,0.00024296639137164975
2024-05-15,16:59:11,24.82,0.0,4994161.32,0.00024297173164511643
2024-05-15,16:59:11,25.05,0.0,4994161.17,0.00024298508282966774
2024-05-15,16:59:11,25.37,0.0,4994161.38,0.0002429103196801356
2024-05-15,16:59:11,25.7,0.0,4994161.3,0.0002429023103342985
2024-05-15,16:59:12,26.04,0.0,4994161.28,0.0002429103206530739
2024-05-15,16:59:12,26.36,0.0,4994161.31,0.00024292901238479118
2024-05-15,16:59:12,26.68,0.0,4994161.23,0.00024295838422827885
2024-05-15,16:59:13,27.01,0.0,4994161.21,0.00024295304369340977
2024-05-15,16:59:13,27.25,0.0,4994161.4,0.0002429477035268724
2024-05-15,16:59:13,27.56,0.0,4994161.17,0.00024298508505833213
2024-05-15,16:59:14,27.89,0.0,4994161.34,0.00024287561046649003
2024-05-15,16:59:14,28.21,0.0,4994161.37,0.00024290231155259926
2024-05-15,16:59:14,28.55,0.0,4994161.27,0.00024292634253886573
2024-05-15,16:59:15,28.87,0.0,4994161.16,0.0002429797447046684
2024-05-15,16:59:15,29.21,0.0,4994161.05,0.0002430304767834598
2024-05-15,16:59:15,29.52,0.0,4994161.05,0.0002430304767834599
2024-05-15,16:59:15,29.76,0.0,4994160.92,0.00024307052905946688
2024-05-15,16:59:16,30.07,0.0,4994160.99,0.00024308387963139241
2024-05-15,16:59:16,30.4,0.0,4994160.97,0.00024308655006374574
2024-05-15,16:59:16,30.73,0.0,4994161.11,0.00024298508579602556
2024-05-15,16:59:17,31.05,0.0,4994161.01,0.00024300110711036006
2024-05-15,16:59:17,31.4,0.0,4994161.01,0.00024300377721768785
2024-05-15,16:59:17,31.72,0.0,4994161.06,0.00024299309842633481
2024-05-15,16:59:18,31.95,0.0,4994161.13,0.000242979747252477
2024-05-15,16:59:18,32.29,0.0,4994160.97,0.0002430091187768204
2024-05-15,16:59:18,32.59,0.0,4994160.79,0.00024308121180619327
2024-05-15,16:59:19,32.92,0.0,4994160.68,0.00024313194388177688
2024-05-15,16:59:19,33.25,0.0,4994160.71,0.00024312660370454667
