Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2024-05-15,17:17:58,1715786278.9,nan,nan,nan
2024-05-15,17:17:59,0.0,0.0,4994819.83,0.0002063017607903292
2024-05-15,17:17:59,0.34,0.0,4994819.27,0.00020696379611127944
2024-05-15,17:17:59,0.66,0.0,4994819.26,0.00020734819868697155
2024-05-15,17:18:00,0.99,0.0,4994819.39,0.00020706522807129645
2024-05-15,17:18:00,1.31,0.0,4994819.39,0.00020693176147762872
2024-05-15,17:18:00,1.64,0.0,4994819.45,0.00020705722442112632
2024-05-15,17:18:01,1.97,0.0,4994819.2,0.00020726011226057968
2024-05-15,17:18:01,2.3,0.0,4994819.33,0.00020704654884183812
2024-05-15,17:18:01,2.62,0.0,4994819.57,0.00020730819780236811
2024-05-15,17:18:02,2.95,0.0,4994819.73,0.00020724946321104096
2024-05-15,17:18:02,3.28,0.0,4994821.13,0.00020642715340636142
2024-05-15,17:18:02,3.62,0.0,4994820.67,0.00020669410607030293
2024-05-15,17:18:03,3.94,0.0,4994820.63,0.00020674482887993412
2024-05-15,17:18:03,4.07,0.0,4994820.97,0.0002070464701692016
2024-05-15,17:18:03,4.38,0.0,4994821.39,0.00020709452353263137
2024-05-15,17:18:03,4.7,0.0,4994821.42,0.0002066673872593095
2024-05-15,17:18:04,5.01,0.0,4994820.53,0.000206646079409223
2024-05-15,17:18:04,5.33,0.0,4994820.31,0.0002073614831862998
2024-05-15,17:18:04,5.66,0.0,4994820.37,0.0002074068593703786
2024-05-15,17:18:05,5.98,0.0,4994818.51,0.00020636050757780414
2024-05-15,17:18:05,6.38,0.0,4994818.68,0.00020629109439404585
2024-05-15,17:18:05,6.64,0.0,4994818.93,0.00020628843752342109
2024-05-15,17:18:06,6.91,0.0,4994818.33,0.00020566648085214322
2024-05-15,17:18:06,7.23,0.0,4994818.67,0.00020505246632540944
2024-05-15,17:18:06,7.55,0.0,4994818.92,0.0002050578276176094
2024-05-15,17:18:07,7.86,0.0,4994819.63,0.00020481487825651704
2024-05-15,17:18:07,8.24,0.0,4994818.95,0.00020520196001358693
2024-05-15,17:18:07,8.5,0.0,4994819.05,0.00020566913154483775
2024-05-15,17:18:07,8.81,0.0,4994819.59,0.00020592537715175395
